"gene"	"protein_id"	"gene.y"	"product"	"Amean"	"Fstat.ANOVA"	"rawP.ANOVA"	"FDR.ANOVA"	"FC.temp.A.42vsA.37"	"rawP.temp.A.42vsA.37"	"FDR.temp.A.42vsA.37"	"FC.temp.N.42vsN.37"	"rawP.temp.N.42vsN.37"	"FDR.temp.N.42vsN.37"	"FC.nitr.A.42vsN.42"	"rawP.nitr.A.42vsN.42"	"FDR.nitr.A.42vsN.42"	"FC.nitr.A.37vsN.37"	"rawP.nitr.A.37vsN.37"	"FDR.nitr.A.37vsN.37"	"FC.both.N.42vsA.37"	"rawP.both.N.42vsA.37"	"FDR.both.N.42vsA.37"	"FC.both.A.42vsN.37"	"rawP.both.A.42vsN.37"	"FDR.both.A.42vsN.37"	"AMS.37.1"	"AMS.37.2"	"AMS.37.3"	"AMS.42.1"	"AMS.42.2"	"AMS.42.3"	"NMS.37.1"	"NMS.37.2"	"NMS.37.3"	"NMS.42.1"	"NMS.42.2"	"NMS.42.3"
"MCA_RS00005"	"WP_010959374.1"	"mnmG"	"tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG"	8.88809230863174	1.56098237846119	0.254315717076705	0.327950497403761	-1.02649282778667	0.809249554468977	0.88608443996549	-1.24855054349213	0.0596835687150842	0.122892236193381	1.14177059500507	0.235916930653511	0.736906334368793	-1.06529859618774	0.561828349445141	0.680521319435748	-1.17201932675043	0.161493416365818	0.444473259380696	-1.09352136843792	0.415864843715392	0.525046511818431	9.03514180206666	8.83237539435871	8.92835626122627	9.18409941597697	8.64668556135936	8.85191783865598	9.02396967333317	8.92081651112038	9.12486086838461	8.68795692654513	8.71298962716665	8.70793782338693
"MCA_RS00010"	"WP_010959375.1"	"rsmG"	"16S rRNA (guanine(527)-N(7))-methyltransferase RsmG"	6.58723659826869	3.61615478833641	0.0490098566406087	0.0951035797766898	-1.46874946048818	0.034373107301024	0.194436068335646	-1.40291892566972	0.0569731914508235	0.118274941595036	-1.10804718631481	0.532584847722313	0.902528479840901	-1.05838361819684	0.728330841704985	0.806214395215774	-1.32552970543881	0.104455082056699	0.374925756068602	-1.55450036821613	0.0182188300248785	0.042505931896505	6.73043911206094	6.86576989789262	6.8249717999305	6.88927758546663	5.95234071107926	5.91579754812894	6.96827460719738	6.75165618007851	6.94683793263405	6.47782911463777	6.35539516770512	6.36824952241253
"MCA_RS00015"	"WP_010959376.1"	NA	"ParA family protein"	8.75511054644077	3.92096363763342	0.0397034512472739	0.0816964502259035	1.24917265502731	0.0609982125028663	0.233647796433199	1.32839162067421	0.0220586804071939	0.058790841542196	-1.0758079770153	0.507314894538544	0.890065179771538	-1.01165189996132	0.915435627336461	0.942150070482351	1.34386990694776	0.0181658010849185	0.17597052614915	1.2347850629995	0.0735256538644658	0.130106947590971	8.66468797307631	8.5047822613092	8.52280190289341	8.73957405985854	8.89430768931879	9.02130906874769	8.61316870992485	8.49332115217436	8.63592114747641	8.98849086646288	8.73732714382154	9.24563458222528
"MCA_RS00020"	"WP_010959377.1"	NA	"ParB/RepB/Spo0J family partition protein"	8.57142363498181	3.57282877409964	0.050530471892726	0.0974309734587655	1.03219403132644	0.817029612902781	0.891705943121316	-1.23214863940575	0.146757514689227	0.24349865538973	-1.16291374371193	0.283017566461203	0.757244319995187	-1.47901285395585	0.0137671779892151	0.0716223856625889	1.20035262520694	0.199299783471697	0.489935181278914	-1.4328825870609	0.0210320317762346	0.0476045913263579	8.80666970017862	8.06361824967651	8.1886276526455	8.5209132752355	8.30563073574438	8.36951417159616	8.91859578984953	8.81102215039746	9.02320143469192	8.81107270224834	8.51220020436771	8.52601755315005
"MCA_RS00025"	"WP_010959378.1"	NA	"hypothetical protein"	6.93687935414977	4.00549254437356	0.0375006682458589	0.0784886855686569	-1.09539433143206	0.548104971023133	0.718100378882575	-1.5460906298524	0.0129012355975296	0.0396021266272001	1.41603988962295	0.0374349625649443	0.36983792006344	1.00325429714476	0.982767017661918	0.988634283439004	-1.55112206817466	0.0124015786936352	0.140123637954339	-1.09184115587597	0.562233330371379	0.66455716719267	7.49429531609728	6.90634959577367	6.9870805615829	6.549757036967	7.16099038615424	7.28262709129178	7.20975776980437	7.11209543661589	7.0518102605603	6.43129148875938	6.47256960525433	6.58392770093607
"MCA_RS00030"	"WP_010959379.1"	NA	"F0F1 ATP synthase subunit A"	7.59879555229925	1.38497918378878	0.298789454728061	0.373702439666066	-1.08392377797095	0.661274239786781	0.794347732433833	-1.4135608235729	0.079283628544297	0.153066356062923	1.07722769594875	0.68567425261333	0.945908055795621	-1.21062111973374	0.308452198441219	0.461082068936529	-1.1676327139277	0.405047903793182	0.68631859899705	-1.31222101779322	0.157189448644455	0.242253860639548	8.22119894119632	7.19177553267059	7.43148899914807	7.68946676044865	7.39490859831605	7.41129818645252	7.84173392963854	7.95638722729149	7.87358459027353	7.25556177885591	7.80136768805238	7.11677439524696
"MCA_RS00035"	"WP_010959380.1"	"atpE"	"F0F1 ATP synthase subunit C"	7.88508488887462	5.05061187878978	0.0193294396748589	0.0495153636265599	-1.38922709907171	0.236179079093627	0.457498501056599	-2.36604767323882	0.0073026553577022	0.0277556034700004	-1.04554643054436	0.86827722393544	0.968452554242806	-1.7807115200284	0.0501522123369099	0.140453979702537	-1.3287091404907	0.301866104743677	0.596067640421596	-2.47381269925264	0.00540765168601859	0.0168738760943358	8.89284096833887	7.42525278866478	7.37605138780414	7.82566023220497	7.32318141212561	7.1224561260104	8.67169605944988	8.71816579584632	8.80164473439265	7.71334381280328	7.78554890856015	6.96517644029443
"MCA_RS00040"	"WP_010959381.1"	NA	"F0F1 ATP synthase subunit B"	8.7195268283429	5.09255070503864	0.0188510807001783	0.0487013013318917	-1.45816652145956	0.217132393103084	0.439334588580156	-2.44757964124853	0.00997965510359986	0.0336314376991315	-1.15464785518772	0.627507503950128	0.937102478507249	-1.93811374872325	0.0422616176806623	0.128472395395358	-1.2628668688104	0.435041744417115	0.714391776295133	-2.82609258316873	0.00412617815011086	0.0140299308624285	9.88985393365883	8.18050819460252	8.03287195419911	8.62952916835866	8.11995092288561	7.72128754011093	9.65959471232233	9.67666093151469	9.6309381755003	8.45733386735576	8.53705948867927	8.09873305092677
"MCA_RS00045"	"WP_010959382.1"	NA	"F0F1 ATP synthase subunit delta"	8.70985863699628	5.81799627273936	0.0124253522148006	0.0366239973444997	-1.69151587589088	0.121099016272034	0.322187119607963	-2.93554505532888	0.00550674860751677	0.0234908136801665	-1.09797008050045	0.770711299928786	0.957027452209874	-1.9054746613091	0.0637898970227555	0.16016122323677	-1.54058467159679	0.194602671196777	0.483871203082313	-3.22314064071215	0.0032631916473934	0.0118105731104346	10.0700491233817	8.32541410747492	8.07284588283505	8.55278969257395	8.17049138485526	7.47007788300173	9.74582919368546	9.78748882536813	9.72544236530175	8.22250492852757	8.50024028636033	7.87512997058949
"MCA_RS00050"	"WP_010959383.1"	NA	"F0F1 ATP synthase subunit alpha"	10.2600809104387	5.53075579750039	0.0146016919093053	0.0406302124412138	-1.70554533397726	0.114569136798052	0.315325038029484	-2.82816633466342	0.00662705202987243	0.0261021712215754	-1.10143201116887	0.762257672206067	0.957027452209874	-1.82641462050399	0.0793030135290998	0.184303475969585	-1.54847990314653	0.188011274002154	0.477698590958836	-3.11503293390844	0.00383941796424348	0.0132518666999982	11.6087973897855	10.0032302400399	9.56726868782996	10.0762915915902	9.82473450149347	8.96757091620852	11.2319231167355	11.3051616069086	11.2492545346273	9.86885730058358	9.94110466861113	9.47677637085131
